type	latitude	longitude	altitude (m)	name
T	11.961805239	108.263909384	1335.7	
T	11.961805239	108.264139205	1337.2	
T	11.961805239	108.264369026	1335.0	
T	11.961805239	108.264598846	1332.4	
T	11.961805239	108.264828667	1329.8	
T	11.961805239	108.265058488	1325.9	
T	11.961805239	108.265288309	1318.5	
T	11.961805238	108.265518129	1311.0	
T	11.961805238	108.265747950	1303.6	
T	11.961805238	108.265977771	1296.5	
T	11.961805238	108.266207592	1289.7	
T	11.961805238	108.266437412	1282.8	
T	11.961805238	108.266667233	1276.0	
T	11.961805238	108.266897054	1267.3	
T	11.961805238	108.267126875	1258.7	
T	11.961805238	108.267356695	1250.0	
T	11.961805238	108.267586516	1240.2	
T	11.961805238	108.267816337	1228.3	
T	11.961805237	108.268046157	1216.5	
T	11.961805237	108.268275978	1204.6	
T	11.961805237	108.268505799	1192.4	
T	11.961805237	108.268735620	1180.2	
T	11.961805237	108.268965440	1167.9	
T	11.961805237	108.269195261	1156.3	
T	11.961805237	108.269425082	1149.4	
T	11.961805237	108.269654903	1142.4	
T	11.961805237	108.269884723	1135.5	
T	11.961805237	108.270114544	1134.6	
T	11.961805237	108.270344365	1139.9	
T	11.961805236	108.270574186	1145.1	
T	11.961805236	108.270804006	1150.3	
T	11.961805236	108.271033827	1159.6	
T	11.961805236	108.271263648	1169.5	
T	11.961805236	108.271493468	1179.4	
T	11.961805236	108.271723289	1189.4	
T	11.961805236	108.271953110	1199.8	
T	11.961805236	108.272182931	1210.2	
T	11.961805236	108.272412751	1220.6	
T	11.961805236	108.272642572	1231.1	
T	11.961805236	108.272872393	1241.6	
T	11.961805235	108.273102214	1252.2	
T	11.961805235	108.273332034	1262.8	
T	11.961805235	108.273561855	1270.1	
T	11.961805235	108.273791676	1277.3	
T	11.961805235	108.274021497	1284.6	
T	11.961805235	108.274251317	1287.9	
T	11.961805235	108.274481138	1284.6	
T	11.961805235	108.274710959	1281.2	
T	11.961805235	108.274940779	1277.9	
T	11.961805235	108.275170600	1274.7	
T	11.961805234	108.275400421	1271.6	
T	11.961805234	108.275630242	1268.4	
T	11.961805234	108.275860062	1266.2	
T	11.961805234	108.276089883	1270.4	
T	11.961805234	108.276319704	1274.6	
T	11.961805234	108.276549525	1278.9	
T	11.961805234	108.276779345	1279.2	
T	11.961805234	108.277009166	1275.6	
T	11.961805234	108.277238987	1272.0	
T	11.961805234	108.277468808	1268.3	
T	11.961805234	108.277698628	1259.9	
T	11.961805233	108.277928449	1250.7	
T	11.961805233	108.278158270	1241.5	
T	11.961805233	108.278388090	1232.2	
T	11.961805233	108.278617911	1222.8	
T	11.961805233	108.278847732	1213.3	
T	11.961805233	108.279077553	1203.8	
T	11.961805233	108.279307373	1200.2	
T	11.961805233	108.279537194	1200.3	
T	11.961805233	108.279767015	1200.4	
T	11.961805233	108.279996836	1200.5	
T	11.961805233	108.280226656	1210.2	
T	11.961805232	108.280456477	1220.0	
T	11.961805232	108.280686298	1229.9	
T	11.961805232	108.280916119	1240.1	
T	11.961805232	108.281145939	1250.9	
T	11.961805232	108.281375760	1261.7	
T	11.961805232	108.281605581	1272.5	
T	11.961805232	108.281835401	1281.7	
T	11.961805232	108.282065222	1290.4	
T	11.961805232	108.282295043	1299.1	
T	11.961805232	108.282524864	1307.1	
T	11.961805231	108.282754684	1309.6	
T	11.961805231	108.282984505	1312.1	
T	11.961805231	108.283214326	1314.5	
T	11.961580401	108.237480000	1095.5	
T	11.961580401	108.237709821	1093.4	
T	11.961580401	108.237939641	1091.6	
T	11.961580401	108.238169462	1089.8	
T	11.961580400	108.238399282	1087.2	
T	11.961580400	108.238629103	1082.6	
T	11.961580400	108.238858923	1078.1	
T	11.961580400	108.239088744	1073.6	
T	11.961580400	108.239318564	1070.9	
T	11.961580400	108.239548385	1069.2	
T	11.961580400	108.239778205	1067.6	
T	11.961580400	108.240008026	1066.1	
T	11.961580400	108.240237847	1071.7	
T	11.961580400	108.240467667	1077.4	
T	11.961580399	108.240697488	1083.0	
T	11.961580399	108.240927308	1090.3	
T	11.961580399	108.241157129	1099.9	
T	11.961580399	108.241386949	1109.5	
T	11.961580399	108.241616770	1119.2	
T	11.961580399	108.241846590	1129.2	
T	11.961580399	108.242076411	1139.3	
T	11.961580399	108.242306231	1149.5	
T	11.961580399	108.242536052	1160.0	
T	11.961580399	108.242765872	1172.2	
T	11.961580399	108.242995693	1184.4	
T	11.961580398	108.243225514	1196.6	
T	11.961580398	108.243455334	1207.3	
T	11.961580398	108.243685155	1216.6	
T	11.961580398	108.243914975	1226.0	
T	11.961580398	108.244144796	1235.4	
T	11.961580398	108.244374616	1243.8	
T	11.961580398	108.244604437	1252.0	
T	11.961580398	108.244834257	1260.2	
T	11.961580398	108.245064078	1266.0	
T	11.961580398	108.245293898	1265.6	
T	11.961580398	108.245523719	1265.1	
T	11.961580397	108.245753540	1264.7	
T	11.961580397	108.245983360	1268.8	
T	11.961580397	108.246213181	1275.2	
T	11.961580397	108.246443001	1281.6	
T	11.961580397	108.246672822	1288.1	
T	11.961580397	108.246902642	1295.8	
T	11.961580397	108.247132463	1303.5	
T	11.961580397	108.247362283	1311.2	
T	11.961580397	108.247592104	1318.9	
T	11.961580397	108.247821924	1326.6	
T	11.961580397	108.248051745	1334.3	
T	11.961580396	108.248281565	1342.0	
T	11.961580396	108.248511386	1344.8	
